2022-02-17 23:14:38,936: 'h'
2022-02-17 23:14:42,777: 'e'
2022-02-17 23:14:42,892: 'y'
2022-02-17 23:14:44,489: Key.enter
2022-02-17 23:14:50,382: Key.enter
2022-02-17 23:14:50,631: Key.enter
2022-02-17 23:14:50,826: Key.enter
2022-02-17 23:14:50,982: Key.enter
2022-02-17 23:15:30,568: 'h'
2022-02-17 23:15:30,718: 'e'
2022-02-17 23:15:31,415: 'y'
2022-02-17 23:15:33,519: Key.space
2022-02-17 23:15:33,829: 'y'
2022-02-17 23:15:34,316: 'o'
2022-02-17 23:15:34,621: 'u'
2022-02-17 23:15:35,323: '.'
2022-02-17 23:15:35,498: '.'
2022-02-17 23:15:35,672: '.'
2022-02-17 23:15:36,302: Key.enter
2022-02-17 23:16:03,248: 'o'
2022-02-17 23:16:03,314: 'k'
2022-02-17 23:16:03,680: Key.enter
2022-02-17 23:16:26,627: Key.backspace
2022-02-17 23:16:28,040: Key.ctrl_l
2022-02-17 23:16:28,364: '\x13'
2022-02-17 23:17:37,614: Key.ctrl_l
2022-02-17 23:17:38,180: '\x13'
2022-02-17 23:17:52,658: 'o'
2022-02-17 23:17:52,706: 'k'
2022-02-17 23:17:53,040: Key.enter
2022-02-17 23:19:40,361: Key.enter
2022-02-17 23:19:40,690: Key.enter
2022-02-17 23:19:40,908: Key.enter
2022-02-17 23:19:41,829: Key.ctrl_l
2022-02-17 23:19:42,265: '\x03'
2022-02-17 23:19:42,827: '\x03'
2022-02-17 23:19:42,859: '\x03'
2022-02-17 23:19:42,890: '\x03'
2022-02-17 23:19:42,921: '\x03'
2022-02-17 23:19:42,952: '\x03'
2022-02-17 23:19:42,984: '\x03'
2022-02-17 23:19:43,881: Key.ctrl_l
2022-02-17 23:19:44,198: '\x03'
2022-02-17 23:19:44,417: '\x03'
2022-02-17 23:19:44,979: '\x03'
2022-02-17 23:19:45,010: '\x03'
2022-02-17 23:19:45,042: '\x03'
2022-02-17 23:19:45,073: '\x03'
2022-02-17 23:19:45,104: '\x03'
2022-02-17 23:19:45,135: '\x03'
2022-02-17 23:19:45,167: '\x03'
2022-02-17 23:19:45,198: '\x03'
2022-02-17 23:19:45,229: '\x03'
2022-02-17 23:19:45,260: '\x03'
2022-02-17 23:19:45,292: '\x03'
2022-02-17 23:19:45,323: '\x03'
2022-02-17 23:19:45,354: '\x03'
2022-02-17 23:19:45,401: '\x03'
2022-02-17 23:19:45,432: '\x03'
2022-02-17 23:19:45,964: Key.ctrl_l
2022-02-17 23:19:46,308: '\x03'
2022-02-17 23:19:46,871: '\x03'
2022-02-17 23:19:46,902: '\x03'
2022-02-17 23:19:46,933: '\x03'
2022-02-17 23:19:46,964: '\x03'
2022-02-17 23:19:46,996: '\x03'
2022-02-17 23:19:47,042: '\x03'
2022-02-17 23:19:47,074: '\x03'
2022-02-17 23:19:47,105: '\x03'
2022-02-17 23:19:47,277: '\x03'
2022-02-17 23:19:47,480: '\x03'
